train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0574755502,0.4312500000,0.0509375241,0.5260416667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0375029389,0.7916666667,0.0432131042,0.6041666667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0213054674,0.9333333333,0.0385236448,0.6197916667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0103147509,0.9937500000,0.0353869194,0.6510416667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0041978280,1.0000000000,0.0361271541,0.6354166667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0020309362,1.0000000000,0.0351576855,0.6406250000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0011457201,1.0000000000,0.0331781811,0.6718750000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0008175204,1.0000000000,0.0350988113,0.6666666667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0006825054,1.0000000000,0.0350219471,0.6718750000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0004572696,1.0000000000,0.0359871813,0.6614583333,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0003718632,1.0000000000,0.0380195811,0.6302083333,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0003460075,1.0000000000,0.0354725703,0.6354166667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0002834620,1.0000000000,0.0381377498,0.6302083333,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0002387692,1.0000000000,0.0361089713,0.6770833333,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0002301277,1.0000000000,0.0355792139,0.6510416667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0001909147,1.0000000000,0.0374119018,0.6302083333,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0002068815,1.0000000000,0.0352940283,0.6718750000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0001793987,1.0000000000,0.0390286284,0.6093750000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0001524716,1.0000000000,0.0413283358,0.6250000000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0001371989,1.0000000000,0.0374729897,0.6718750000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0001177801,1.0000000000,0.0396915761,0.6458333333,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0001063795,1.0000000000,0.0391295999,0.6510416667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0001043928,1.0000000000,0.0385245408,0.6406250000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000813431,1.0000000000,0.0403647218,0.6406250000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000947411,1.0000000000,0.0419439729,0.6041666667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000951824,1.0000000000,0.0379517227,0.6354166667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000700245,1.0000000000,0.0393075570,0.6458333333,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000669506,1.0000000000,0.0409343972,0.6510416667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000671932,1.0000000000,0.0408402278,0.6458333333,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000719300,1.0000000000,0.0408886137,0.6562500000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000633686,1.0000000000,0.0393918858,0.6510416667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000465770,1.0000000000,0.0402833205,0.6562500000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000508740,1.0000000000,0.0415180937,0.6562500000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000465507,1.0000000000,0.0428011604,0.6197916667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000399068,1.0000000000,0.0402295091,0.6666666667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000413727,1.0000000000,0.0377980623,0.6875000000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000555673,1.0000000000,0.0389856687,0.6354166667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000475605,1.0000000000,0.0402280527,0.6510416667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000448469,1.0000000000,0.0391359789,0.6406250000,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
0.0000373443,1.0000000000,0.0430008126,0.6510416667,0.0005000000,7337002,270.2007040000,0.8887166712,0.6909722222,0.6833598723,0.6983190731
