train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0497472505,0.6500000000,0.0357641044,0.8385416667,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0265418742,0.9104166667,0.0218932253,0.9427083333,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0129998177,0.9854166667,0.0139520435,0.9531250000,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0052561204,1.0000000000,0.0118790143,0.9375000000,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0027251184,1.0000000000,0.0083492615,0.9635416667,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0015650965,1.0000000000,0.0065804122,0.9739583333,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0009764232,1.0000000000,0.0069944491,0.9479166667,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0007081365,1.0000000000,0.0071699456,0.9479166667,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0004831685,1.0000000000,0.0061532636,0.9479166667,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0004320201,1.0000000000,0.0066255582,0.9375000000,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0003839693,1.0000000000,0.0057409284,0.9427083333,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0003031495,1.0000000000,0.0073618333,0.9427083333,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0002369925,1.0000000000,0.0047593358,0.9635416667,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0002378730,1.0000000000,0.0043676052,0.9583333333,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0001694467,1.0000000000,0.0049992105,0.9583333333,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0001714725,1.0000000000,0.0050571819,0.9583333333,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
0.0001399542,1.0000000000,0.0065312784,0.9427083333,0.0005000000,7337002,270.2007040000,0.2117975002,0.9305555556,0.9287169368,0.9321629964
