train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0452292780,0.7500000000,0.0284838136,0.9739583333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0195975083,0.9833333333,0.0140160290,0.9843750000,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0089188050,1.0000000000,0.0076071882,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0039515458,1.0000000000,0.0048827010,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0020315850,1.0000000000,0.0034950805,0.9791666667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0011329390,1.0000000000,0.0030792672,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0008262112,1.0000000000,0.0024544007,0.9791666667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0006471848,1.0000000000,0.0018581135,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0005164470,1.0000000000,0.0021571005,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0004243412,1.0000000000,0.0018189383,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0003360497,1.0000000000,0.0014870089,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0002970277,1.0000000000,0.0016616601,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0002377458,1.0000000000,0.0021199419,0.9739583333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0002591264,1.0000000000,0.0012906009,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0002107671,1.0000000000,0.0020061335,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0001893303,1.0000000000,0.0012211890,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0001411945,1.0000000000,0.0017605268,0.9843750000,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0001563440,1.0000000000,0.0016356575,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0001558444,1.0000000000,0.0008873217,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0001288770,1.0000000000,0.0009475367,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0001071175,1.0000000000,0.0009716764,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000916649,1.0000000000,0.0009859091,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000822552,1.0000000000,0.0011614349,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000885844,1.0000000000,0.0011122028,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000842216,1.0000000000,0.0011472347,0.9843750000,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000838623,1.0000000000,0.0012724289,0.9791666667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000702885,1.0000000000,0.0010081113,0.9843750000,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000631191,1.0000000000,0.0008661049,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000548776,1.0000000000,0.0010316309,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000498624,1.0000000000,0.0008550228,1.0000000000,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000651841,1.0000000000,0.0006674971,1.0000000000,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000628011,1.0000000000,0.0018084493,0.9791666667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000503151,1.0000000000,0.0013987953,0.9895833333,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000518820,1.0000000000,0.0011078753,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000381734,1.0000000000,0.0006979691,1.0000000000,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000332736,1.0000000000,0.0008069314,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000364322,1.0000000000,0.0011444853,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000371913,1.0000000000,0.0008497089,0.9947916667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000376087,1.0000000000,0.0013615746,0.9791666667,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
0.0000412940,1.0000000000,0.0004840645,1.0000000000,0.0005000000,7337002,270.2007040000,0.0253753421,0.9930555556,0.9921105088,0.9922038981
