train_loss,train_acc,val_loss,val_acc,lr,model_params,MFLOPs,test_loss,test_acc,f1_score,recall
0.0434376836,0.8083333333,0.0281866298,0.9687500000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0190918931,0.9833333333,0.0130692323,0.9843750000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0079161236,0.9937500000,0.0069554343,0.9895833333,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0034905895,1.0000000000,0.0040680461,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0018249615,1.0000000000,0.0033072799,0.9895833333,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0010455120,1.0000000000,0.0021150570,0.9947916667,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0008278669,1.0000000000,0.0018503387,0.9947916667,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0005909934,1.0000000000,0.0013907872,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0004864622,1.0000000000,0.0013308105,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0003333043,1.0000000000,0.0011100038,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0003219212,1.0000000000,0.0008573402,0.9947916667,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0002804177,1.0000000000,0.0009179115,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0002163313,1.0000000000,0.0011182793,0.9947916667,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0002158741,1.0000000000,0.0006938389,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0002119800,1.0000000000,0.0007390189,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0001713258,1.0000000000,0.0008793085,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0001405265,1.0000000000,0.0006336491,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0001288911,1.0000000000,0.0005188046,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0001218101,1.0000000000,0.0005457423,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0001419957,1.0000000000,0.0005770297,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000929943,1.0000000000,0.0005377707,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000891310,1.0000000000,0.0006152034,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000888105,1.0000000000,0.0004805404,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000786180,1.0000000000,0.0005899794,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000876959,1.0000000000,0.0004780008,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000706565,1.0000000000,0.0003333587,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000587835,1.0000000000,0.0007787786,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000659669,1.0000000000,0.0006554413,0.9947916667,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000611615,1.0000000000,0.0003675879,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000456875,1.0000000000,0.0006663190,0.9947916667,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000552226,1.0000000000,0.0004080658,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000477741,1.0000000000,0.0005294870,0.9947916667,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000399274,1.0000000000,0.0007692061,0.9947916667,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000456049,1.0000000000,0.0003665787,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000401006,1.0000000000,0.0003152092,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000396042,1.0000000000,0.0002845508,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000407229,1.0000000000,0.0003829244,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000430983,1.0000000000,0.0002848126,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000299183,1.0000000000,0.0002293220,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
0.0000317085,1.0000000000,0.0003624893,1.0000000000,0.0005000000,7337002,270.2007040000,0.0066206813,1.0000000000,1.0000000000,1.0000000000
